section,category,metric,type,date,value
State Data,Cumulative counts to date,Cumulative Doses Administered,All COVID Vaccines,NA,657725
State Data,Cumulative counts to date,People Immunized with One Dose,NA,NA,495151
State Data,Cumulative counts to date,People Immunized with Two Doses,NA,NA,162060
State Data,Cumulative counts to date,Total Vaccine Providers,NA,NA,669
State Metrics,Vaccinations,Immunized Yesterday,Moderna,NA,8979
State Metrics,Vaccinations,Immunized Yesterday,Moderna Change from Yesterday,NA,-289
State Metrics,Vaccinations,Immunized Yesterday,Pfizer,NA,6824
State Metrics,Vaccinations,Immunized Yesterday,Pfizer Change from Yesterday,NA,107
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine,NA,5
State Metrics,Vaccinations,Immunized Yesterday,Unspecified COVID Vaccine Change from Yesterday,NA,-1
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Moderna,NA,0
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Pfizer,NA,0
State Metrics,Vaccinations,Record Added Today But Immunized In Past,Unspecified COVID Vaccine,NA,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-14,195
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-14,194
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-14,195
Vaccine Administration,Administration,Daily,Pfizer,2020-12-14,194
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-15,417
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-15,414
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-15,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-15,222
Vaccine Administration,Administration,Daily,Pfizer,2020-12-15,220
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-15,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-16,4204
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-16,4197
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-16,0
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-16,3787
Vaccine Administration,Administration,Daily,Pfizer,2020-12-16,3783
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-16,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-17,16379
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-17,16371
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-17,1
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-17,12175
Vaccine Administration,Administration,Daily,Pfizer,2020-12-17,12174
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-17,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-18,28620
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-18,28608
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-18,1
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-18,12241
Vaccine Administration,Administration,Daily,Pfizer,2020-12-18,12237
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-18,0
